-14.42, -0.50, 3.88, 0.89, -0.09, 0.15, 0.49, -0.12, 0.25, -1.25, 6.69, -1.17, 0.91, -0.32, -0.23, 0.74, -0.28, 0.39, -6.39, -4.66, -5.69, 0.30, 0.63, 0.78, -0.20, 0.54, -0.35, -6.84, 0.99, 1.18, 0.93, -0.36, 0.09, 0.30, 0.20, 0.21, -14.28, 1.41, 0.91, 0.99, 0.16, 0.41, 0.73, -0.14, 0.61, -9.93, 1.61, -0.62, 1.01, -0.08, -0.10, 0.38, 0.51, -0.08
-14.32, -0.09, 5.09, 0.91, -0.10, 0.19, 0.49, -0.11, 0.26, -1.02, 7.45, -0.98, 0.93, -0.32, -0.21, 0.75, -0.28, 0.39, -6.50, -7.05, -4.08, 0.32, 0.60, 0.78, -0.20, 0.54, -0.35, -5.82, 4.24, -0.12, 0.95, -0.37, 0.10, 0.30, 0.21, 0.22, -14.65, 3.07, -0.96, 1.01, 0.16, 0.43, 0.72, -0.14, 0.61, -9.69, -1.50, 1.61, 1.02, -0.07, -0.11, 0.38, 0.50, -0.07
-14.39, 2.31, 2.33, 0.91, -0.11, 0.17, 0.48, -0.11, 0.26, -2.59, 8.99, -3.51, 0.92, -0.34, -0.22, 0.74, -0.28, 0.39, -10.95, -8.03, -0.84, 0.31, 0.62, 0.79, -0.20, 0.54, -0.35, -6.06, 6.41, -3.13, 0.96, -0.39, 0.06, 0.30, 0.22, 0.22, -15.71, 3.34, -4.82, 1.03, 0.13, 0.41, 0.72, -0.14, 0.61, -11.93, -1.52, 6.15, 1.04, -0.09, -0.06, 0.38, 0.50, -0.08
-18.99, 6.23, -1.29, 0.91, -0.12, 0.10, 0.48, -0.11, 0.26, -11.60, 12.88, -8.53, 0.92, -0.34, -0.27, 0.74, -0.27, 0.40, -16.73, -17.09, 0.81, 0.28, 0.63, 0.80, -0.21, 0.53, -0.34, -11.18, 12.31, -9.32, 0.97, -0.41, 0.02, 0.30, 0.22, 0.23, -23.11, 4.10, -11.10, 1.04, 0.11, 0.36, 0.72, -0.13, 0.61, -19.44, -3.33, 12.31, 1.03, -0.10, -0.03, 0.38, 0.50, -0.09
-27.35, 9.25, -3.17, 0.90, -0.14, 0.06, 0.48, -0.11, 0.26, -24.97, 17.88, -11.84, 0.93, -0.37, -0.31, 0.74, -0.26, 0.41, -26.29, -23.54, -4.10, 0.24, 0.65, 0.81, -0.22, 0.53, -0.35, -22.03, 16.46, -14.80, 0.98, -0.44, -0.04, 0.30, 0.22, 0.24, -35.78, 0.65, -15.06, 1.08, 0.07, 0.31, 0.73, -0.12, 0.62, -33.22, -2.72, 19.82, 1.03, -0.11, -0.01, 0.39, 0.49, -0.09
-45.74, 12.40, -3.67, 0.92, -0.16, 0.00, 0.49, -0.10, 0.27, -63.35, 22.03, -16.59, 0.92, -0.46, -0.37, 0.74, -0.25, 0.42, -42.11, -33.83, -11.24, 0.18, 0.65, 0.84, -0.22, 0.51, -0.35, -46.97, 21.53, -25.94, 1.01, -0.49, -0.05, 0.29, 0.24, 0.24, -60.19, -16.98, -18.30, 1.11, 0.04, 0.35, 0.73, -0.11, 0.63, -48.04, 7.30, 37.06, 1.01, -0.07, -0.02, 0.39, 0.48, -0.10
-67.61, 13.10, -6.49, 0.95, -0.18, 0.03, 0.48, -0.07, 0.28, -136.98, 16.34, -29.42, 0.96, -0.43, -0.26, 0.74, -0.22, 0.43, -52.87, -52.58, -16.26, 0.20, 0.65, 0.80, -0.24, 0.49, -0.34, -96.12, 22.19, -44.46, 1.00, -0.45, 0.04, 0.30, 0.26, 0.25, -73.17, -38.37, -31.18, 1.06, 0.18, 0.42, 0.74, -0.09, 0.63, -50.77, 19.21, 56.97, 1.05, 0.01, -0.11, 0.41, 0.46, -0.12
-64.62, 19.39, -21.20, 0.94, -0.09, 0.13, 0.47, -0.06, 0.30, -180.04, 19.66, -37.44, 0.89, -0.50, -0.10, 0.73, -0.17, 0.44, -51.57, -50.03, -8.16, 0.30, 0.70, 0.77, -0.25, 0.47, -0.33, -107.33, 37.42, -43.99, 0.96, -0.37, 0.08, 0.30, 0.30, 0.27, -60.54, -36.13, -38.89, 1.01, 0.09, 0.42, 0.76, -0.07, 0.62, -45.82, 13.05, 57.00, 1.06, -0.08, -0.13, 0.43, 0.44, -0.11
-70.24, 4.77, -14.64, 0.87, -0.22, 0.06, 0.47, -0.04, 0.31, -245.00, 49.19, -21.14, 0.94, -0.66, -0.12, 0.73, -0.09, 0.44, -42.54, -71.56, -10.58, 0.34, 0.71, 0.72, -0.27, 0.46, -0.32, -112.48, 63.67, -22.94, 0.95, -0.40, 0.00, 0.28, 0.33, 0.29, -93.07, -25.20, -43.76, 1.07, 0.02, 0.44, 0.77, -0.04, 0.62, -73.18, -8.26, 46.62, 1.07, 0.06, -0.11, 0.44, 0.42, -0.12
-106.08, 23.50, -17.11, 0.92, -0.24, 0.09, 0.47, -0.01, 0.32, -245.00, -1.91, -56.64, 1.09, -0.72, 0.20, 0.72, -0.00, 0.42, -39.93, -100.93, 1.29, 0.24, 0.72, 0.68, -0.31, 0.44, -0.31, -101.45, 1.88, -61.15, 1.04, -0.46, 0.14, 0.27, 0.38, 0.30, -108.28, -25.74, -71.71, 1.01, 0.09, 0.56, 0.79, -0.00, 0.62, -68.94, -35.52, 61.45, 1.01, 0.12, -0.13, 0.46, 0.39, -0.15
